"id","source","url","title","content","created_at"
"492808","mail","https://finance.mail.ru/2024-04-11/glava-ekspert-ra-ocenila-vozmozhnost-rosta-sprosa-na-vklady-v-yuanyah-60619896/","Глава «Эксперт РА» оценила возможность роста спроса на вклады в юанях","«В условиях текущей ставки я в это не верю», — сказала она в ответ на вопрос, ожидается ли всплеск спроса на юаневые вклады. Чекурова пояснила, что ставки по юаням скорее символические, чем настоящие, и «в рубле держать средства выгоднее».«В данный момент крупнейшие банки начали активно повышать ставки по юаневым вкладам, так как повышается спрос на кредитование в этой валюте со стороны российских компаний, с учетом этого можно ожидать, что к концу 2024 года объем депозитов в юанях может достигнуть 100 миллиардов долларов», — добавила она.","2024-04-11 06:01:36+00"
"492807","mail","https://finance.mail.ru/2024-04-11/v-rossiyskih-magazinah-pochti-zakonchilis-bacardi-i-grey-goose-60619521/","В российских магазинах почти закончились Bacardi и Grey Goose","В российских торговых сетях почти не осталось значительной части продукции Bacardi Limited — единственной транснациональной алкогольной компании, официально продолжающей работу в стране после начала военной операции на Украине. Речь идет, в частности, о роме Bacardi, водке Grey Goose, джине Bombay Sapphire и других напитках, убедился корреспондент РБК, изучивший ассортимент магазинов X5 Group («Чижик», «Пятерочка», «Перекресток»), «Магнита», «Красного & Белого», а также онлайн-витрины алкогольной сети WineStyle. В X5 Group подтвердили РБК, что Bacardi Ltd прекратила поставки соответствующих брендов. Кроме них группа прекратила экспорт в Россию виски Aberfeldy, уточнил ретейлер, а также текилы Patron, добавил источник РБК в алкогольной отрасли. На запрос РБК в Bacardi не ответили. Поставки ряда брендов в Россию Bacardi прекратила еще в начале 2023 года, но перед этим были сформированы значительные запасы, направленные в основном предприятиям общепита, рассказал РБК гендиректор AST Леонид Рафаилов. Сейчас запасы подходят к концу, объясняет он, некоторые импортеры завозят продукцию Bacardi в рамках параллельного импорта. Но такие поставки, по словам гендиректора AST, носят хаотичный характер и не соответствуют тем объемам, которые обеспечивала Bacardi. Чем известна группа BacardiКомпания Bacardi впервые была зарегистрирована в 1862 году, когда переехавший на Кубу каталонский предприниматель Факундо Бакарди приобрел ромовый завод в Сантьяго-де-Куба и разработал вместе со своим партнером рецепт принципиально нового для того времени карибского рома. Напиток стал настолько успешным, что Бакарди получил известность как «ромовый король». После победы Кубинской революции в 1959 году активы Bacardi на Кубе были арестованы правительством Фиделя Кастро, семья Бакарди вынуждена была бежать из страны, а компания продолжила деятельность в США, Мексике, Пуэрто-Рико, Испании и на Багамских островах. В 1965 году компания переехала на Бермудские острова, а в 1992 году там была зарегистрирована Bacardi Limited, в которую вошли пять операционных подразделений — Bacardi International Limited на самих Бермудах, Bacardi & Company Limited на Багамах, Bacardi Corporation в Пуэрто-Рико, Bacardi Imports, Inc. в США и Bacardi y Compañía S. A. de C. V в Мексике. Через год, в 1993 году, в состав Bacardi Limited вошло шестое подразделение — итальянская Martini & Rossi. В таком виде группа существует по сей день. По версии британского журнала Drinks International, ром Bacardi и водка Grey Goose — самые продаваемые бренды в мире в своих категориях. Что происходит с Bacardi в РоссииСейчас Bacardi продолжает возить в Россию в основном только свой итальянский портфель — вермуты и игристые вина под брендом Martini, говорит Рафаилов. Это подтвердили и в X5 Group. По мнению Рафаилова, это может объясняться тем, что Италия более лояльно настроена к России по сравнению с США, которые полностью запретили поставки алкоголя в страну, полагает эксперт. Несмотря на то что ром производится в Пуэрто-Рико, а текила — в Мексике, принадлежат эти бренды американскому подразделению Bacardi, которое контролировало соответствующие поставки в Россию, поясняет Рафаилов. На российском рынке по-прежнему присутствует еще ряд принадлежащих Bacardi продуктов — виски Dewar’s и William Lawson’s, а также ром Oakheart. Последние два, впрочем, разливаются в России — на мощностях Novabev Group (ранее — Beluga Group) и Тульского винокуренного завода 1911 соответственно. На фоне прекращения поставок ключевых брендов группы ее российское подразделение ООО «Бакарди Рус» сократило в 2023 году чистую прибыль до 1,5 млрд руб., что, согласно бухгалтерской отчетности, стало худшим показателем с 2019 года. Тогда прибыль составила 630,3 млн руб., после чего непрерывно росла в течение всех последующих лет (для сравнения: в 2022 году чистая прибыль компании составляла 4,6 млрд руб.). Выручка у ООО «Бакарди Рус» в 2023 году, впрочем, выросла относительно уровня предыдущего года на 16,9% — до 38,1 млрд руб. Объем товарных запасов компании на конец 2023 года составлял 6,4 млрд руб., тогда как в начале года запасов было лишь на 2,1 млрд руб. Увеличилась и покупная стоимость проданных товаров — с 20,3 млрд руб. в 2022 году до 27,6 млрд руб. Всего расходы по обычным видам деятельности «Бакарди Рус» выросли почти на 10 млрд (до 36,2 млрд руб.). Источник РБК на розничном рынке рассказал, что в конце 2023 года Bacardi подняла цены на 10%. С ростом отгрузочных цен на спиртное транснациональной компании столкнулась также сеть «Верный» — в марте этого года она заявила, что полностью откажется от ассортимента Bacardi. В торговой компании объясняли это «дискриминационной» разницей в закупочных ценах по сравнению с другими ретейлерами — в 2023 году она составляла почти 10%. В конце года Bacardi предупредила «Верный», что поднимет цены еще на 17% — в противном случае поставщик спиртного угрожал полностью остановить отгрузки, рассказали в сети. Кроме того, там жаловались на регулярные перебои в поставках иностранной компанией необходимых объемов товара. Как изменился рынок спиртногоПосле начала военной операции на Украине российский алкогольный рынок покинули практически все крупнейшие мировые производители спиртного — Diageo (бренды Johnnie Walker, Guinness, Smirnoff, Baileys и другие), Pernod Ricard (Chivas, Jameson, Ballantine's, Beefeater, Olmeca, Absolut), Brown-Forman (Jack Daniel's), Beam Suntory (Jim Beam) и ряд других. Bacardi в их число не входила, хотя компания и выступила с осуждением действий российских властей. Компания решила пожертвовать $1 млн Красному Кресту и Корпусу милосердия, остановить экспорт в Россию, а также заморозить инвестиции в рекламу на местном рынке, следовало из ее заявления. Позже слова о прекращении экспорта и заморозке расходов на рекламу исчезли из публикации. А в августе 2023 года The Wall Street Journal сообщала со ссылкой на собранные платформой Export Genius таможенные данные российского правительства, что за год (до 30 июня) «Бакарди Рус» импортировала продукцию на $169 млн. Чистая прибыль российского подразделения группы по итогам 2022 года составляла рекордные 4,65 млрд руб. В сентябре 2022 года Минпромторг предложил разрешить параллельный импорт, то есть ввоз в страну без разрешения правообладателя ряда спиртных напитков, в том числе виски Jack Daniel's, Jim Beam, Johnnie Walker, Chivas. Российские производители алкоголя выступили против введения этой меры, тем не менее в ноябре 2022 года министерство приняло соответствующее решение. Сейчас в список алкогольных товаров, разрешенных к параллельному импорту, входят в том числе и некоторые пропавшие бренды Bacardi — Aberfeldy и Patron. На фоне ухода западных алкогольных производителей, несмотря на разрешение параллельного импорта, многие российские компании решили попытаться занять освободившиеся ниши и начать выпускать собственные продукты в категориях рома, виски и джина. Но импорт по-прежнему пользуется популярностью: так, по данным Центра исследований федерального и регионального рынков алкоголя (ЦИФРРА), импорт рома в прошлом году немного упал по отношению к 2021 году и составил 6,7 млн дал против 7,2 млн дал, а по сравнению с 2022 годом даже немного вырос (тогда поставки составили 6,3 млн дал). Объем поставок зарубежного джина в 2023 году достиг 2,1 млн дал — в 2021-м они были больше (2,7 млн дал), но относительно 2022-го выросли (1,8 млн дал), рассказал РБК директор ЦИФРРА Вадим Дробиз.","2024-04-11 06:07:30+00"
"492786","headlines","https://t.me/headlines_for_traders/40939","Распродажа облигаций в Азии: инфляция в США влияет на рынки","Распродажа облигаций распространяется на Азию, после выхода данных по инфляции США. Акции Австралии, Японии и Гонконга снижаются вслед за американскими; Доходность 10-летних казначейских облигаций США впервые превысила 4.5% с ноября. bloomberg.com.","2024-04-11 04:11:08+00"
"492785","headlines","https://t.me/headlines_for_traders/40942","Доллар установил рекорд по отношению к иене на фоне данных по инфляции","Доллар обновил 34-летний максимум по отношению к иене на данных по инфляции. Рост доллар/иены выше 153.00 спровоцировал слухи о грядущей интервенции. profinance.ru.","2024-04-11 04:51:27+00"
"492784","headlines","https://t.me/headlines_for_traders/40946","Европа ищет альтернативы российскому газу","Европа все еще сильно зависит от российского СПГ. При этом страны континента готовы отказаться от российского газа, как только смогут без него обойтись. profinance.ru.","2024-04-11 05:27:01+00"
"492783","headlines","https://t.me/headlines_for_traders/40948","Российские акции: сильные движения в первом эшелоне","Сильные движения (более 5%) по итогам вчерашнего дня (российские акции, 1 эшелон): `TGKA  ТГК-1    +8.12%`. `RUAL  РУСАЛ ао   +5.20%`.","2024-04-11 06:00:15+00"
"492781","Gazeta","https://www.gazeta.ru/social/news/2024/04/11/22759730.shtml","Глава Оренбургской области пообещал возвести в Орске новую дамбу","В Орске появится новая дамба, при разработке проекта которой учтут недостатки предыдущей конструкции. Об этом журналистам рассказал губернатор Оренбургской области Денис Паслер, его цитирует РИА Новости. «Обязательно выделим деньги для экспертизы, хотя мне и так все понятно, я там все ногами обошел, и второе, конечно, для изготовления проекта полноценного [новой дамбы]», — заявил глава региона. По словам Паслера, власти проследят за тем, чтобы в этот раз была возведена дамба, «какая она должна была быть, по сути, изначально», чтобы местные жители были уверены в том, что им больше не придется покидать дома. Вечером 5 апреля в Орске Оренбургской области прорвало дамбу сразу в двух местах. По словам местных жителей, течь в ней была несколько дней. Из города эвакуировали людей. Вода затопила несколько тысяч зданий и домовладений. 11 апреля Паслер заявил о стабилизации ситуации с паводком в Орске. Ранее в Орске рассказали, что остались один на один с наводнением.","2024-04-11 06:09:09+00"
"492779","Gazeta","https://www.gazeta.ru/culture/news/2024/04/11/22759820.shtml","Рэпер Серега проиграл в суде 500 рублей","Рэпер Серега (настоящее имя — Сергей Пахоменко) проиграл суд Социальному фонду России. Об этом сообщает Life со ссылкой на Shot. По данным канала, СФР подал иск к проживающему на территорию Белоруссии музыканту из-за задолженности в размере 500 рублей. Причиной стал бизнес артиста по изготовлению и продажи ежедневых наборов еды, который исполнитель хита «Черный бумер» открыл в 2017 году. Позднее, через три года, компанию исключили из реестра малого и среднего предпринимательства, а затем адрес регистрации компании признали недействительным. Shot подчеркивает, что у Пахоменко накопились также серьезные долги по обязательным пенсионным взносам. Недавно сообщалось, что компания журналистки Ксении Собчак потерпела убытки на 18 млн рублей. Речь шла о ресторане Veter, который открылся в Санкт-Петербурге в 2023 году. Заведение находится на борту парусника «Летучий Голландец», пришвартованного у Петропавловской крепости. Согласно kp.ru, чистый убыток ресторана Veter составил 18 млн рублей при выручке 42 млн рублей. Заведение записано на ООО «Манила», 15% которой принадлежит Собчак. Ранее на Прилучного подали в суд из-за долга квартиры Муцениеце.","2024-04-11 06:06:21+00"
"492766","Банкста","https://t.me/banksta/50762","Трамп выбывает из списка миллиардеров после падения акций Truth Social","Дональд Трамп больше не входит в список 500 крупнейших миллиардеров после того, как цена акций его платформы Truth Social упала на 30%.","2024-04-11 04:40:27+00"
"492765","Банкста","https://t.me/banksta/50763","Параллельный импорт: западные товары дешевле в России","Чудеса параллельного импорта. Многие западные товары в России дешевле, чем на Западе. Например, поллитра оливкового масла Filippo Berio в Великобритании стоит 8,55, а в Москве 899 рублей (7,60). Похожая ситуация с алкоголем и другими товарами.","2024-04-11 05:24:01+00"
